Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-20,195.39778546699256,196.17437985078777,192.11886212370365,192.85231018066406,30779422,0.0,0
2018-03-21,193.0248914059589,194.27605594458953,190.82456029793343,191.51486206054688,21104905,0.0,0
2018-03-22,190.26368717175475,191.08341470996098,186.72589905982014,188.83995056152344,28537576,0.0,0
2018-03-23,187.4593565537421,190.47941523239848,187.4593565537421,189.1851043701172,24769236,0.0,0
2018-03-26,189.35767007222336,191.12656415707204,187.15733904796818,188.23593139648438,19128748,0.0,0
2018-03-27,190.78142845055217,192.50717628577593,189.48711757413434,191.64430236816406,18755060,0.0,0
2018-03-28,190.30683594485095,194.7937774658203,189.65968053798775,194.7937774658203,22178302,0.0,0
2018-03-29,195.57035444513537,200.10044219491,195.09578435685853,196.30380249023438,36834277,0.0,0
2018-04-03,194.44864864984106,195.0095114471732,192.2051711276895,194.40550231933594,26639975,0.0,0
2018-04-04,194.62120036585299,195.6566463571734,193.6288875340962,195.00949096679688,24196231,0.0,0
2018-04-05,198.1158552228346,200.44561214914268,196.39010740091587,200.4024658203125,20327237,0.0,0
2018-04-06,200.35931083246408,203.29308990278207,199.58272961272692,202.38706970214844,25656730,0.0,0
2018-04-09,203.16365625485363,204.11282280736802,201.99878439467042,202.81851196289062,21961180,0.0,0
2018-04-10,203.72451273786726,206.05426940222415,203.20678318293926,205.75225830078125,22487661,0.0,0
2018-04-11,205.79541968058095,207.13287682331756,205.32083641491178,206.14056396484375,17445922,0.0,0
2018-04-12,206.48573312131987,207.90946983262944,205.4071407138395,207.52117919921875,14354271,0.0,0
2018-04-13,208.12516841679565,210.54121781185302,206.9602966279285,208.384033203125,27018312,0.0,0
2018-04-16,208.21144608393845,210.02347312502295,206.48569852114812,209.41946411132812,24443535,0.0,0
2018-04-17,209.63519840094995,210.5412185731739,209.031189341604,209.6783447265625,18616672,0.0,0
2018-04-18,209.54891891613482,211.10208130690728,208.55660609268574,209.6783447265625,22970544,0.0,0
2018-04-19,209.3763326666518,210.109780699518,206.87400378936115,207.3485870361328,23067971,0.0,0
2018-04-20,207.0897230037601,209.2469076183826,206.6582860808356,208.6428985595703,20598877,0.0,0
2018-04-23,208.59977340573352,210.92953039270142,207.60747364885813,210.36866760253906,21622627,0.0,0
2018-04-24,210.5412384927789,211.66297723278498,206.91717062741495,207.78004455566406,20230163,0.0,0
2018-04-25,206.22684268945076,208.21145510593658,206.05427055897582,206.26998901367188,32739555,0.0,0
2018-04-26,207.3917251338431,212.13753108046274,206.269986549542,211.79237365722656,23989983,0.0,0
2018-04-27,212.26698893885458,214.55359961004595,210.49809473108184,213.99273681640625,19989710,0.0,0
2018-04-30,214.59672583214373,217.44421219657136,214.55357950596556,215.24388122558594,22377335,0.0,0
2018-05-01,215.67532154124856,217.5736414252058,210.80008943399355,211.4040985107422,17777598,0.0,0
2018-05-02,211.31779938767846,212.2669658838042,208.77232417804493,209.03118896484375,42101332,0.0,0
2018-05-03,206.9603013902729,208.34089167178146,199.58272722537643,200.316162109375,47067844,0.0,0
2018-05-04,201.61046411432682,203.2067859584839,201.30846617516852,202.68905639648438,25205826,0.0,0
2018-05-08,202.99107378574854,205.23455106864816,202.64592951133787,204.02651977539062,23663179,0.0,0
2018-05-09,204.37166942420646,205.88169860839844,201.61046266855627,205.88169860839844,27504671,0.0,0
2018-05-10,189.83226100736445,193.06803818362636,185.3453192895635,190.73828125,110049901,0.0,0
2018-05-11,189.40082184400427,191.21286230816503,187.02791860905663,187.24363708496094,68489339,0.0,0
2018-05-14,187.24362471880565,187.5887689908938,181.50551890527723,182.75668334960938,66639269,0.0,0
2018-05-15,182.02324312803222,182.54097272480166,178.22660330642492,178.44232177734375,53408894,0.0,0
2018-05-16,177.75201265682728,178.52859385332707,174.38680991678146,175.16339111328125,53312253,0.0,0
2018-05-17,174.42995813843686,177.14801889371643,173.65337687487764,176.58714294433594,49794152,0.0,0
2018-05-18,176.5439895424662,176.5871227005105,174.86137505362973,175.3791046142578,44528597,0.0,0
2018-05-21,176.88913804025614,176.88913804025614,174.42994231801055,175.29281616210938,27758890,0.0,0
2018-05-22,175.63797565482605,179.17575055718254,175.55168300284242,178.1403045654297,33699438,0.0,0
2018-05-23,177.75201472595162,179.305190303441,177.32057779700514,178.01087951660156,34934697,0.0,0
2018-05-24,178.0108766708666,178.0108766708666,174.77509975549606,175.29281616210938,50317335,0.0,0
2018-05-25,179.47776842732284,181.41923467232996,176.9754394225446,181.16036987304688,55779765,0.0,0
2018-05-29,182.02324764045125,182.02324764045125,176.11256929059374,177.96774291992188,50345357,0.0,0
2018-05-30,177.88143000555812,178.96002226405994,175.81053813579837,176.75970458984375,44031546,0.0,0
2018-05-31,178.05403413062376,179.34834497770925,175.55169192641202,176.8028564453125,52032839,0.0,0
